__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-23,US,United States,project,Project Management,NEW,103.61
HiringLabSectoralPosting,2020-02-23,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.2
HiringLabSectoralPosting,2020-02-23,US,United States,techinfo,IT Systems & Solutions,NEW,98.47
HiringLabSectoralPosting,2020-02-23,US,United States,techsoftware,Software Development,NEW,105.74
HiringLabSectoralPosting,2020-02-24,US,United States,math,Data & Analytics,NEW,98.27
HiringLabSectoralPosting,2020-02-24,US,United States,project,Project Management,NEW,103.22
HiringLabSectoralPosting,2020-02-24,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.26
HiringLabSectoralPosting,2020-02-24,US,United States,techinfo,IT Systems & Solutions,NEW,98.04
HiringLabSectoralPosting,2020-02-24,US,United States,techsoftware,Software Development,NEW,105.4
HiringLabSectoralPosting,2020-02-25,US,United States,math,Data & Analytics,NEW,99.98
HiringLabSectoralPosting,2020-02-25,US,United States,project,Project Management,NEW,104.04
HiringLabSectoralPosting,2020-02-25,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.79
HiringLabSectoralPosting,2020-02-25,US,United States,techinfo,IT Systems & Solutions,NEW,98.94
HiringLabSectoralPosting,2020-02-25,US,United States,techsoftware,Software Development,NEW,106.5
HiringLabSectoralPosting,2020-02-26,US,United States,math,Data & Analytics,NEW,101.23
HiringLabSectoralPosting,2020-02-26,US,United States,project,Project Management,NEW,104.83
HiringLabSectoralPosting,2020-02-26,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.07
HiringLabSectoralPosting,2020-02-26,US,United States,techinfo,IT Systems & Solutions,NEW,99.55
HiringLabSectoralPosting,2020-02-26,US,United States,techsoftware,Software Development,NEW,107.3
HiringLabSectoralPosting,2020-02-27,US,United States,math,Data & Analytics,NEW,102.28
HiringLabSectoralPosting,2020-02-27,US,United States,project,Project Management,NEW,105.35
HiringLabSectoralPosting,2020-02-27,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.89
HiringLabSectoralPosting,2020-02-27,US,United States,techinfo,IT Systems & Solutions,NEW,100.28
HiringLabSectoralPosting,2020-02-27,US,United States,techsoftware,Software Development,NEW,108.12
HiringLabSectoralPosting,2020-02-28,US,United States,math,Data & Analytics,NEW,102.57
HiringLabSectoralPosting,2020-02-28,US,United States,project,Project Management,NEW,105.45
HiringLabSectoralPosting,2020-02-28,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.39
HiringLabSectoralPosting,2020-02-28,US,United States,techinfo,IT Systems & Solutions,NEW,100.58
HiringLabSectoralPosting,2020-02-28,US,United States,techsoftware,Software Development,NEW,108.41
HiringLabSectoralPosting,2020-02-29,US,United States,math,Data & Analytics,NEW,102.9
HiringLabSectoralPosting,2020-02-29,US,United States,project,Project Management,NEW,106.38
HiringLabSectoralPosting,2020-02-29,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.94
HiringLabSectoralPosting,2020-02-29,US,United States,techinfo,IT Systems & Solutions,NEW,101.6
HiringLabSectoralPosting,2020-02-29,US,United States,techsoftware,Software Development,NEW,109.38
HiringLabSectoralPosting,2020-03-01,US,United States,math,Data & Analytics,NEW,103.67
HiringLabSectoralPosting,2020-03-01,US,United States,project,Project Management,NEW,107.35
HiringLabSectoralPosting,2020-03-01,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.61
HiringLabSectoralPosting,2020-03-01,US,United States,techinfo,IT Systems & Solutions,NEW,102.45
HiringLabSectoralPosting,2020-03-01,US,United States,techsoftware,Software Development,NEW,110.44
HiringLabSectoralPosting,2020-03-02,US,United States,math,Data & Analytics,NEW,104.36
HiringLabSectoralPosting,2020-03-02,US,United States,project,Project Management,NEW,107.88
HiringLabSectoralPosting,2020-03-02,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,101.39
HiringLabSectoralPosting,2020-03-02,US,United States,techinfo,IT Systems & Solutions,NEW,103.12
HiringLabSectoralPosting,2020-03-02,US,United States,techsoftware,Software Development,NEW,111.69
HiringLabSectoralPosting,2020-03-03,US,United States,math,Data & Analytics,NEW,103.89
HiringLabSectoralPosting,2020-03-03,US,United States,project,Project Management,NEW,107.62
HiringLabSectoralPosting,2020-03-03,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,101.64
HiringLabSectoralPosting,2020-03-03,US,United States,techinfo,IT Systems & Solutions,NEW,103.05
HiringLabSectoralPosting,2020-03-03,US,United States,techsoftware,Software Development,NEW,112.32
HiringLabSectoralPosting,2020-03-04,US,United States,math,Data & Analytics,NEW,102.89
HiringLabSectoralPosting,2020-03-04,US,United States,project,Project Management,NEW,107.22
HiringLabSectoralPosting,2020-03-04,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,101.85
HiringLabSectoralPosting,2020-03-04,US,United States,techinfo,IT Systems & Solutions,NEW,103
HiringLabSectoralPosting,2020-03-04,US,United States,techsoftware,Software Development,NEW,113.17
HiringLabSectoralPosting,2020-03-05,US,United States,math,Data & Analytics,NEW,101.8
HiringLabSectoralPosting,2020-03-05,US,United States,project,Project Management,NEW,106.82
HiringLabSectoralPosting,2020-03-05,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,102.37
HiringLabSectoralPosting,2020-03-05,US,United States,techinfo,IT Systems & Solutions,NEW,103.23
HiringLabSectoralPosting,2020-03-05,US,United States,techsoftware,Software Development,NEW,113.84
HiringLabSectoralPosting,2020-03-06,US,United States,math,Data & Analytics,NEW,101.07
HiringLabSectoralPosting,2020-03-06,US,United States,project,Project Management,NEW,106.21
HiringLabSectoralPosting,2020-03-06,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,102.71
HiringLabSectoralPosting,2020-03-06,US,United States,techinfo,IT Systems & Solutions,NEW,103.42
HiringLabSectoralPosting,2020-03-06,US,United States,techsoftware,Software Development,NEW,114.46
HiringLabSectoralPosting,2020-03-07,US,United States,math,Data & Analytics,NEW,100.16
HiringLabSectoralPosting,2020-03-07,US,United States,project,Project Management,NEW,104.83
HiringLabSectoralPosting,2020-03-07,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,102.39
HiringLabSectoralPosting,2020-03-07,US,United States,techinfo,IT Systems & Solutions,NEW,103.38
HiringLabSectoralPosting,2020-03-07,US,United States,techsoftware,Software Development,NEW,114.33
HiringLabSectoralPosting,2020-03-08,US,United States,math,Data & Analytics,NEW,99.05
HiringLabSectoralPosting,2020-03-08,US,United States,project,Project Management,NEW,103.18
HiringLabSectoralPosting,2020-03-08,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,102.18
HiringLabSectoralPosting,2020-03-08,US,United States,techinfo,IT Systems & Solutions,NEW,102.84
HiringLabSectoralPosting,2020-03-08,US,United States,techsoftware,Software Development,NEW,113.89
HiringLabSectoralPosting,2020-03-09,US,United States,math,Data & Analytics,NEW,98.06
HiringLabSectoralPosting,2020-03-09,US,United States,project,Project Management,NEW,102.16
HiringLabSectoralPosting,2020-03-09,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,101.83
HiringLabSectoralPosting,2020-03-09,US,United States,techinfo,IT Systems & Solutions,NEW,102.49
HiringLabSectoralPosting,2020-03-09,US,United States,techsoftware,Software Development,NEW,113
HiringLabSectoralPosting,2020-03-10,US,United States,math,Data & Analytics,NEW,97.5
HiringLabSectoralPosting,2020-03-10,US,United States,project,Project Management,NEW,100.98
HiringLabSectoralPosting,2020-03-10,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,101.27
HiringLabSectoralPosting,2020-03-10,US,United States,techinfo,IT Systems & Solutions,NEW,101.56
HiringLabSectoralPosting,2020-03-10,US,United States,techsoftware,Software Development,NEW,111.92
HiringLabSectoralPosting,2020-03-11,US,United States,math,Data & Analytics,NEW,97.54
HiringLabSectoralPosting,2020-03-11,US,United States,project,Project Management,NEW,100.01
HiringLabSectoralPosting,2020-03-11,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.86
HiringLabSectoralPosting,2020-03-11,US,United States,techinfo,IT Systems & Solutions,NEW,100.82
